Time, ProductionCenter, WorkersCount, BufferCount
0.0, Производственный  центр №1, 2, 498
0.0, Производственный  центр №2, 1, 0
0.0, Производственный  центр №3, 0, 0
0.0, Производственный  центр №4, 0, 0
0.0, Производственный  центр №5, 0, 0
1.0, Производственный  центр №1, 2, 498
1.0, Производственный  центр №2, 1, 0
1.0, Производственный  центр №3, 0, 0
1.0, Производственный  центр №4, 0, 0
1.0, Производственный  центр №5, 0, 0
2.0, Производственный  центр №1, 2, 498
2.0, Производственный  центр №2, 1, 0
2.0, Производственный  центр №3, 0, 0
2.0, Производственный  центр №4, 0, 0
2.0, Производственный  центр №5, 0, 0
3.0, Производственный  центр №1, 2, 496
3.0, Производственный  центр №2, 1, 0
3.0, Производственный  центр №3, 0, 0
3.0, Производственный  центр №4, 0, 1
3.0, Производственный  центр №5, 0, 0
4.0, Производственный  центр №1, 2, 496
4.0, Производственный  центр №2, 1, 0
4.0, Производственный  центр №3, 0, 0
4.0, Производственный  центр №4, 0, 1
4.0, Производственный  центр №5, 0, 0
5.0, Производственный  центр №1, 2, 494
5.0, Производственный  центр №2, 1, 1
5.0, Производственный  центр №3, 0, 0
5.0, Производственный  центр №4, 0, 2
5.0, Производственный  центр №5, 0, 0
6.0, Производственный  центр №1, 2, 494
6.0, Производственный  центр №2, 1, 0
6.0, Производственный  центр №3, 0, 1
6.0, Производственный  центр №4, 0, 2
6.0, Производственный  центр №5, 0, 0
7.0, Производственный  центр №1, 2, 492
7.0, Производственный  центр №2, 1, 1
7.0, Производственный  центр №3, 0, 1
7.0, Производственный  центр №4, 0, 3
7.0, Производственный  центр №5, 0, 0
8.0, Производственный  центр №1, 2, 492
8.0, Производственный  центр №2, 1, 1
8.0, Производственный  центр №3, 0, 1
8.0, Производственный  центр №4, 0, 3
8.0, Производственный  центр №5, 0, 0
9.0, Производственный  центр №1, 2, 490
9.0, Производственный  центр №2, 1, 2
9.0, Производственный  центр №3, 0, 1
9.0, Производственный  центр №4, 0, 4
9.0, Производственный  центр №5, 0, 0
10.0, Производственный  центр №1, 2, 490
10.0, Производственный  центр №2, 1, 1
10.0, Производственный  центр №3, 0, 2
10.0, Производственный  центр №4, 0, 4
10.0, Производственный  центр №5, 0, 0
11.0, Производственный  центр №1, 2, 488
11.0, Производственный  центр №2, 1, 2
11.0, Производственный  центр №3, 0, 2
11.0, Производственный  центр №4, 0, 5
11.0, Производственный  центр №5, 0, 0
12.0, Производственный  центр №1, 2, 488
12.0, Производственный  центр №2, 1, 2
12.0, Производственный  центр №3, 0, 2
12.0, Производственный  центр №4, 0, 5
12.0, Производственный  центр №5, 0, 0
13.0, Производственный  центр №1, 2, 488
